Kullanım Durumu,Tipi,Binanın Yaşı,Binanın Kat Sayısı,Net Metrekare,Brüt Metrekare,Bulunduğu Kat,Site İçerisinde,Isıtma Tipi,Banyo Sayısı,Oda Sayısı,Balkon Durumu,Aidat,Fiyat,Ilce,Mahalle
Boş,Daire,21 Ve Üzeri,3,90,95,1.Kat,Hayır,Kombi Doğalgaz,1,2+1,Var,200.0,14500.0,Keçiören,Şefkat Mahallesi
Boş,Daire,11-15,4,95,110,1.Kat,Hayır,Kombi Doğalgaz,1,2+1,Var,200.0,25000.0,Sincan,Mareşal Çakmak Mahallesi
Boş,Daire,21 Ve Üzeri,3,100,110,1.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,150.0,21900.0,Keçiören,Güçlükaya Mahallesi
Boş,Daire,21 Ve Üzeri,3,110,120,2.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,18000.0,Keçiören,Şenlik Mahallesi
Boş,Daire,5-10,3,90,110,Düz Giriş (Zemin),Hayır,Kombi Doğalgaz,1,2+1,Var,150.0,15000.0,Mamak,Yeşilbayır Mahallesi
Boş,Daire,11-15,6,120,130,3.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,24000.0,Keçiören,Kuşcağız Mahallesi
Boş,Daire,21 Ve Üzeri,3,113,120,Kot 1 (-1).Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,100.0,18000.0,Keçiören,İncirli Mahallesi
Boş,Daire,5-10,13,125,145,2.Kat,Hayır,Kombi Doğalgaz,2,3+1,Var,150.0,35000.0,Mamak,Ege Mahallesi
Boş,Daire,16-20,4,130,140,2.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,19500.0,Sincan,Malazgirt Mahallesi
Boş,Daire,16-20,3,100,110,3.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,17500.0,Keçiören,Karakaya Mahallesi
Boş,Daire,11-15,3,120,130,1.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,100.0,24000.0,Etimesgut,Süvari Mahallesi
Boş,Daire,21 Ve Üzeri,3,90,100,2.Kat,Hayır,Kombi Doğalgaz,1,2+1,Var,100.0,23500.0,Sincan,Plevne Mahallesi
Boş,Daire,21 Ve Üzeri,3,60,100,3.Kat,Hayır,Kombi Doğalgaz,1,1+1,Var,275.0,25000.0,Altındağ,Örnek Mahallesi
Boş,Daire,21 Ve Üzeri,3,135,145,Yüksek Giriş,Hayır,Kombi Doğalgaz,1,4+1,Var,200.0,17750.0,Sincan,Akşemsettin Mahallesi
Boş,Daire,0 (Yeni),11,84,94,5.Kat,Hayır,Yerden Isıtma,2,2+1,Var,275.0,26000.0,Etimesgut,Atayurt Mahallesi
Boş,Daire,16-20,3,85,90,Yüksek Giriş,Hayır,Kombi Doğalgaz,1,2+1,Var,150.0,21000.0,Mamak,Yeşilbayır Mahallesi
Boş,Daire,21 Ve Üzeri,14,127,135,2.Kat,Evet,Merkezi Doğalgaz,1,3+1,Var,2500.0,37000.0,Etimesgut,Atakent Mahallesi
Boş,Daire,21 Ve Üzeri,2,100,110,Kot 2 (-2).Kat,Hayır,Kombi Doğalgaz,1,2+1,Var,850.0,45000.0,Çankaya,Büyükesat Mahallesi
Boş,Daire,21 Ve Üzeri,4,100,120,4.Kat,Hayır,Merkezi Doğalgaz,1,2+1,Var,850.0,35000.0,Çankaya,Ayrancı Mahallesi
Boş,Residence,5-10,17,42,50,2.Kat,Hayır,Merkezi (Pay Ölçer),1,1+1,Yok,2500.0,30000.0,Çankaya,Alacaatlı Mahallesi
Boş,Daire,11-15,8,140,150,7.Kat,Hayır,Kombi Doğalgaz,2,3+1,Var,275.0,39000.0,Etimesgut,Bağlıca Mahallesi
Boş,Daire,4,13,100,110,3.Kat,Evet,Merkezi (Pay Ölçer),1,3+1,Var,950.0,25000.0,Mamak,Diriliş Mahallesi
Mülk Sahibi Oturuyor,Daire,3,3,50,60,Bahçe Katı,Hayır,Merkezi (Pay Ölçer),1,Stüdyo,Var,850.0,30500.0,Çankaya,Konutkent Mahallesi
Boş,Daire,21 Ve Üzeri,3,280,300,3.Kat,Hayır,Kombi Doğalgaz,3,5+1,Var,1000.0,55000.0,Çankaya,Kırkkonaklar Mahallesi
Boş,Daire,21 Ve Üzeri,3,100,110,1.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,150.0,22000.0,Mamak,Şafaktepe Mahallesi
Boş,Daire,5-10,5,120,145,3.Kat,Hayır,Kombi Doğalgaz,2,3+1,Var,275.0,23000.0,Altındağ,Feridun Çelik Mahallesi
Boş,Daire,5-10,11,120,145,4.Kat,Hayır,Kombi Doğalgaz,2,3+1,Var,150.0,32000.0,Mamak,Cengizhan Mahallesi
Boş,Daire,21 Ve Üzeri,4,100,125,4.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,100.0,23750.0,Keçiören,Kalaba Mahallesi
Boş,Daire,11-15,12,55,65,7.Kat,Hayır,Merkezi Doğalgaz,1,1+1,Var,1650.0,22000.0,Etimesgut,Ayyıldız Mahallesi
Boş,Daire,21 Ve Üzeri,5,115,130,2.Kat,Hayır,Merkezi (Pay Ölçer),2,2+1,Var,150.0,44500.0,Mamak,Cengizhan Mahallesi
Boş,Daire,0 (Yeni),3,40,45,2.Kat,Hayır,Merkezi Doğalgaz,1,1+1,Var,500.0,30000.0,Gölbaşı,İncek Mahallesi
Boş,Daire,4,4,100,110,3.Kat,Hayır,Merkezi (Pay Ölçer),2,3.5+1,Var,1000.0,25000.0,Mamak,Altıağaç Mahallesi
Boş,Daire,0 (Yeni),5,50,60,4.Kat,Hayır,Kombi Doğalgaz,1,2+1,Var,275.0,14500.0,Akyurt,Saracalar Mahallesi
Boş,Daire,21 Ve Üzeri,3,120,125,3.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,23500.0,Keçiören,Aşağı Eğlence Mahallesi
Boş,Daire,21 Ve Üzeri,3,115,135,2.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,19000.0,Sincan,Menderes Mahallesi
Boş,Daire,16-20,3,90,95,Yüksek Giriş,Hayır,Kombi Doğalgaz,1,2+1,Var,275.0,18500.0,Etimesgut,Topçu Mahallesi
Boş,Daire,0 (Yeni),3,40,45,Düz Giriş (Zemin),Hayır,Kombi Doğalgaz,1,1+1,Var,850.0,30000.0,Çankaya,Aziziye Mahallesi
Boş,Daire,21 Ve Üzeri,4,135,145,4.Kat,Hayır,Merkezi Doğalgaz,1,3.5+1,Var,850.0,42000.0,Çankaya,Ayrancı Mahallesi
Boş,Daire,16-20,14,90,100,Yüksek Giriş,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,15500.0,Keçiören,Kuşcağız Mahallesi
Boş,Daire,0 (Yeni),3,125,135,1.Kat,Hayır,Kombi Doğalgaz,2,3+1,Var,200.0,28000.0,Sincan,Fevzi Çakmak Mahallesi
Boş,Daire,21 Ve Üzeri,4,60,65,Düz Giriş (Zemin),Hayır,Kombi Doğalgaz,2,2+1,Var,275.0,20000.0,Etimesgut,Alsancak Mahallesi
Boş,Daire,21 Ve Üzeri,14,130,140,8.Kat,Evet,Kombi Doğalgaz,1,3+1,Var,650.0,37500.0,Yenimahalle,Ostim Mahallesi
Boş,Daire,16-20,8,230,260,7.Kat,Evet,Kombi Doğalgaz,2,5+1,Var,650.0,49000.0,Yenimahalle,Serhat Mahallesi
Boş,Daire,16-20,4,119,135,4.Kat,Hayır,Merkezi Doğalgaz,1,3+1,Var,250.0,24000.0,Pursaklar,Fatih Mahallesi
Boş,Daire,11-15,3,100,110,3.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,500.0,22000.0,Gölbaşı,Karşıyaka Mahallesi
Boş,Daire,21 Ve Üzeri,4,105,115,Yüksek Giriş,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,15900.0,Sincan,Atatürk Mahallesi
Boş,Daire,11-15,4,95,97,Yüksek Giriş,Hayır,Kombi Doğalgaz,1,2+1,Var,300.0,22500.0,Etimesgut,Alsancak Mahallesi
Boş,Daire,21 Ve Üzeri,3,130,145,2.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,28000.0,Keçiören,Bağlarbaşı Mahallesi
Boş,Daire,5-10,3,100,110,Kot 1 (-1).Kat,Hayır,Kombi Doğalgaz,1,2+1,Var,200.0,18000.0,Keçiören,Kanuni Mahallesi
Kiracı Oturuyor,Müstakil Ev,2,2,90,100,2.Kat,Hayır,Kombi Doğalgaz,1,2+1,Var,500.0,42000.0,Gölbaşı,Taşpınar Mahallesi
Boş,Villa,21 Ve Üzeri,4,350,380,2.Kat,Hayır,Kombi Doğalgaz,3,5+1,Var,850.0,127000.0,Çankaya,Yukarı Dikmen Mahallesi
Boş,Daire,16-20,3,100,110,1.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,20000.0,Etimesgut,Topçu Mahallesi
Boş,Daire,1,6,40,45,1.Kat,Hayır,Merkezi (Pay Ölçer),1,1+1,Var,3500.0,34000.0,Çankaya,Remzi Oğuz Arık Mahallesi
Boş,Daire,21 Ve Üzeri,2,110,125,2.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,850.0,35000.0,Çankaya,Öveçler Mahallesi
Boş,Daire,16-20,4,120,140,4.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,30000.0,Sincan,Osmanlı Mahallesi
Boş,Daire,21 Ve Üzeri,4,110,120,3.Kat,Evet,Kombi Doğalgaz,1,3+1,Var,200.0,23000.0,Sincan,Ertuğrulgazi Mahallesi
Kiracı Oturuyor,Daire,2,27,198,230,25.Kat,Evet,Yerden Isıtma,2,5+1,Var,275.0,60000.0,Gölbaşı,Hacılar Mahallesi
Boş,Daire,11-15,3,100,115,Yüksek Giriş,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,21000.0,Keçiören,Atapark Mahallesi
Boş,Daire,11-15,3,110,130,2.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,150.0,24000.0,Mamak,Mehtap Mahallesi
Boş,Daire,16-20,3,90,100,1.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,150.0,21500.0,Sincan,Pınarbaşı Mahallesi
Boş,Daire,0 (Yeni),16,40,46,3.Kat,Evet,Merkezi (Pay Ölçer),1,1+1,Var,650.0,24000.0,Yenimahalle,Yeni Batı Mahallesi
Boş,Daire,11-15,13,105,118,7.Kat,Evet,Merkezi (Pay Ölçer),1,3+1,Var,1000.0,19000.0,Etimesgut,Atayurt Mahallesi
Boş,Daire,11-15,14,145,170,1.Kat,Hayır,Merkezi Doğalgaz,2,3+1,Var,275.0,32000.0,Etimesgut,Turkuaz Mahallesi
Boş,Daire,3,8,120,169,Kot 1 (-1).Kat,Hayır,Merkezi Doğalgaz,2,2+1,Var,200.0,25500.0,Keçiören,Şenyuva Mahallesi
Boş,Daire,21 Ve Üzeri,12,125,128,8.Kat,Hayır,Kombi Doğalgaz,2,3+1,Var,750.0,31000.0,Yenimahalle,Ostim OSB Mahallesi
Boş,Daire,0 (Yeni),4,45,55,Düz Giriş (Zemin),Hayır,Kombi Doğalgaz,1,1+1,Var,500.0,25000.0,Gölbaşı,Karşıyaka Mahallesi
Boş,Daire,3,10,60,65,9.Kat,Evet,Merkezi (Pay Ölçer),1,1+1,Var,1000.0,30000.0,Etimesgut,Şehit Osman Avcı Mahallesi
Boş,Residence,11-15,8,55,60,2.Kat,Evet,Merkezi (Pay Ölçer),1,1+1,Var,1000.0,30000.0,Etimesgut,Şehit Osman Avcı Mahallesi
Boş,Daire,11-15,2,260,300,2.Kat,Hayır,Kombi Doğalgaz,2,6+1,Var,850.0,45000.0,Çankaya,Birlik Mahallesi
Boş,Daire,5-10,3,125,135,2.Kat,Hayır,Kombi Doğalgaz,2,3+1,Var,275.0,22000.0,Altındağ,Karapürçek Mahallesi
Boş,Daire,16-20,3,130,140,2.Kat,Hayır,Kombi Doğalgaz,1,4+1,Var,200.0,28000.0,Keçiören,Kamil Ocak Mahallesi
Boş,Daire,5-10,14,110,120,10.Kat,Evet,Merkezi (Pay Ölçer),1,2+1,Var,450.0,20000.0,Keçiören,Ayvalı Mahallesi
Boş,Daire,21 Ve Üzeri,7,130,135,3.Kat,Hayır,Merkezi Doğalgaz,1,3+1,Var,4000.0,55000.0,Çankaya,Birlik Mahallesi
Boş,Daire,1,2,65,66,2.Kat,Hayır,Yerden Isıtma,1,1+1,Var,225.0,14500.0,Çubuk,Esenboğa Merkez Mahallesi
Kiracı Oturuyor,Daire,1,15,200,220,13.Kat,Hayır,Yerden Isıtma,2,4.5+1,Var,1500.0,57000.0,Keçiören,Ovacık Mahallesi
Boş,Daire,21 Ve Üzeri,4,100,105,3.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,23000.0,Keçiören,Emrah Mahallesi
Boş,Daire,11-15,4,110,115,1.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,21000.0,Sincan,Pınarbaşı Mahallesi
Boş,Daire,21 Ve Üzeri,4,90,100,4.Kat,Evet,Merkezi Doğalgaz,1,2+1,Var,2000.0,45000.0,Çankaya,İlkadım Mahallesi
